"","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT"
"1","080018","Abrera","11","Baix Llobregat","Metropolità","AT01"
"2","080023","Aguilar de Segarra","07","Bages","Comarques Centrals","AT06"
"3","080039","Alella","21","Maresme","Metropolità","AT01"
"4","080044","Alpens","24","Osona","Comarques Centrals","AT06"
"5","080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01"
"6","080060","Arenys de Mar","21","Maresme","Metropolità","AT01"
"7","080076","Arenys de Munt","21","Maresme","Metropolità","AT01"
"8","080082","Argençola","06","Anoia","Penedès","AT08"
"9","080095","Argentona","21","Maresme","Metropolità","AT01"
"10","080109","Artés","07","Bages","Comarques Centrals","AT06"
"11","080116","Avià","14","Berguedà","Comarques Centrals","AT06"
"12","080121","Avinyó","07","Bages","Comarques Centrals","AT06"
"13","080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08"
"14","080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01"
"15","080155","Badalona","13","Barcelonès","Metropolità","AT01"
"16","080168","Bagà","14","Berguedà","Comarques Centrals","AT06"
"17","080174","Balenyà","24","Osona","Comarques Centrals","AT06"
"18","080180","Balsareny","07","Bages","Comarques Centrals","AT06"
"19","080193","Barcelona","13","Barcelonès","Metropolità","AT01"
"20","080207","Begues","11","Baix Llobregat","Metropolità","AT01"
"21","080214","Bellprat","06","Anoia","Penedès","AT08"
"22","080229","Berga","14","Berguedà","Comarques Centrals","AT06"
"23","080235","Bigues i Riells","41","Vallès Oriental","Metropolità","AT01"
"24","080240","Borredà","14","Berguedà","Comarques Centrals","AT06"
"25","080253","Bruc, el","06","Anoia","Penedès","AT08"
"26","080266","Brull, el","24","Osona","Comarques Centrals","AT06"
"27","080272","Cabanyes, les","03","Alt Penedès","Penedès","AT08"
"28","080288","Cabrera d'Anoia","06","Anoia","Penedès","AT08"
"29","080291","Cabrera de Mar","21","Maresme","Metropolità","AT01"
"30","080305","Cabrils","21","Maresme","Metropolità","AT01"
"31","080312","Calaf","06","Anoia","Comarques Centrals","AT06"
"32","080327","Caldes d'Estrac","21","Maresme","Metropolità","AT01"
"33","080333","Caldes de Montbui","41","Vallès Oriental","Metropolità","AT01"
"34","080348","Calders","42","Moianès","Comarques Centrals","AT06"
"35","080351","Calella","21","Maresme","Metropolità","AT01"
"36","080364","Calonge de Segarra","06","Anoia","Comarques Centrals","AT06"
"37","080370","Calldetenes","24","Osona","Comarques Centrals","AT06"
"38","080386","Callús","07","Bages","Comarques Centrals","AT06"
"39","080399","Campins","41","Vallès Oriental","Metropolità","AT01"
"40","080403","Canet de Mar","21","Maresme","Metropolità","AT01"
"41","080410","Canovelles","41","Vallès Oriental","Metropolità","AT01"
"42","080425","Cànoves i Samalús","41","Vallès Oriental","Metropolità","AT01"
"43","080431","Canyelles","17","Garraf","Penedès","AT08"
"44","080446","Capellades","06","Anoia","Penedès","AT08"
"45","080459","Capolat","14","Berguedà","Comarques Centrals","AT06"
"46","080462","Cardedeu","41","Vallès Oriental","Metropolità","AT01"
"47","080478","Cardona","07","Bages","Comarques Centrals","AT06"
"48","080484","Carme","06","Anoia","Penedès","AT08"
"49","080497","Casserres","14","Berguedà","Comarques Centrals","AT06"
"50","080500","Castellar del Riu","14","Berguedà","Comarques Centrals","AT06"
"51","080517","Castellar del Vallès","40","Vallès Occidental","Metropolità","AT01"
"52","080522","Castellar de n'Hug","14","Berguedà","Comarques Centrals","AT06"
"53","080538","Castellbell i el Vilar","07","Bages","Comarques Centrals","AT06"
"54","080543","Castellbisbal","40","Vallès Occidental","Metropolità","AT01"
"55","080556","Castellcir","42","Moianès","Metropolità","AT01"
"56","080569","Castelldefels","11","Baix Llobregat","Metropolità","AT01"
"57","080575","Castell de l'Areny","14","Berguedà","Comarques Centrals","AT06"
"58","080581","Castellet i la Gornal","03","Alt Penedès","Penedès","AT08"
"59","080594","Castellfollit del Boix","07","Bages","Comarques Centrals","AT06"
"60","080608","Castellfollit de Riubregós","06","Anoia","Comarques Centrals","AT06"
"61","080615","Castellgalí","07","Bages","Comarques Centrals","AT06"
"62","080620","Castellnou de Bages","07","Bages","Comarques Centrals","AT06"
"63","080636","Castellolí","06","Anoia","Penedès","AT08"
"64","080641","Castellterçol","42","Moianès","Metropolità","AT01"
"65","080654","Castellví de la Marca","03","Alt Penedès","Penedès","AT08"
"66","080667","Castellví de Rosanes","11","Baix Llobregat","Metropolità","AT01"
"67","080673","Centelles","24","Osona","Comarques Centrals","AT06"
"68","080689","Cervelló","11","Baix Llobregat","Metropolità","AT01"
"69","080692","Collbató","11","Baix Llobregat","Metropolità","AT01"
"70","080706","Collsuspina","42","Moianès","Comarques Centrals","AT06"
"71","080713","Copons","06","Anoia","Penedès","AT08"
"72","080728","Corbera de Llobregat","11","Baix Llobregat","Metropolità","AT01"
"73","080734","Cornellà de Llobregat","11","Baix Llobregat","Metropolità","AT01"
"74","080749","Cubelles","17","Garraf","Penedès","AT08"
"75","080752","Dosrius","21","Maresme","Metropolità","AT01"
"76","080765","Esparreguera","11","Baix Llobregat","Metropolità","AT01"
"77","080771","Esplugues de Llobregat","11","Baix Llobregat","Metropolità","AT01"
"78","080787","Espunyola, l'","14","Berguedà","Comarques Centrals","AT06"
"79","080790","Estany, l'","42","Moianès","Comarques Centrals","AT06"
"80","080804","Fígols","14","Berguedà","Comarques Centrals","AT06"
"81","080811","Fogars de Montclús","41","Vallès Oriental","Metropolità","AT01"
"82","080826","Fogars de la Selva","34","Selva","Comarques Gironines","AT02"
"83","080832","Folgueroles","24","Osona","Comarques Centrals","AT06"
"84","080847","Fonollosa","07","Bages","Comarques Centrals","AT06"
"85","080850","Font-rubí","03","Alt Penedès","Penedès","AT08"
"86","080863","Franqueses del Vallès, les","41","Vallès Oriental","Metropolità","AT01"
"87","080879","Gallifa","40","Vallès Occidental","Metropolità","AT01"
"88","080885","Garriga, la","41","Vallès Oriental","Metropolità","AT01"
"89","080898","Gavà","11","Baix Llobregat","Metropolità","AT01"
"90","080902","Gaià","07","Bages","Comarques Centrals","AT06"
"91","080919","Gelida","03","Alt Penedès","Penedès","AT08"
"92","080924","Gironella","14","Berguedà","Comarques Centrals","AT06"
"93","080930","Gisclareny","14","Berguedà","Comarques Centrals","AT06"
"94","080945","Granada, la","03","Alt Penedès","Penedès","AT08"
"95","080958","Granera","42","Moianès","Metropolità","AT01"
"96","080961","Granollers","41","Vallès Oriental","Metropolità","AT01"
"97","080977","Gualba","41","Vallès Oriental","Metropolità","AT01"
"98","080983","Sant Salvador de Guardiola","07","Bages","Comarques Centrals","AT06"
"99","080996","Guardiola de Berguedà","14","Berguedà","Comarques Centrals","AT06"
"100","081000","Gurb","24","Osona","Comarques Centrals","AT06"
"101","081017","Hospitalet de Llobregat, l'","13","Barcelonès","Metropolità","AT01"
"102","081022","Igualada","06","Anoia","Penedès","AT08"
"103","081038","Jorba","06","Anoia","Penedès","AT08"
"104","081043","Llacuna, la","06","Anoia","Penedès","AT08"
"105","081056","Llagosta, la","41","Vallès Oriental","Metropolità","AT01"
"106","081069","Llinars del Vallès","41","Vallès Oriental","Metropolità","AT01"
"107","081075","Lliçà d'Amunt","41","Vallès Oriental","Metropolità","AT01"
"108","081081","Lliçà de Vall","41","Vallès Oriental","Metropolità","AT01"
"109","081094","Lluçà","24","Osona","Comarques Centrals","AT06"
"110","081108","Malgrat de Mar","21","Maresme","Metropolità","AT01"
"111","081115","Malla","24","Osona","Comarques Centrals","AT06"
"112","081120","Manlleu","24","Osona","Comarques Centrals","AT06"
"113","081136","Manresa","07","Bages","Comarques Centrals","AT06"
"114","081141","Martorell","11","Baix Llobregat","Metropolità","AT01"
"115","081154","Martorelles","41","Vallès Oriental","Metropolità","AT01"
"116","081167","Masies de Roda, les","24","Osona","Comarques Centrals","AT06"
"117","081173","Masies de Voltregà, les","24","Osona","Comarques Centrals","AT06"
"118","081189","Masnou, el","21","Maresme","Metropolità","AT01"
"119","081192","Masquefa","06","Anoia","Penedès","AT08"
"120","081206","Matadepera","40","Vallès Occidental","Metropolità","AT01"
"121","081213","Mataró","21","Maresme","Metropolità","AT01"
"122","081228","Mediona","03","Alt Penedès","Penedès","AT08"
"123","081234","Molins de Rei","11","Baix Llobregat","Metropolità","AT01"
"124","081249","Mollet del Vallès","41","Vallès Oriental","Metropolità","AT01"
"125","081252","Montcada i Reixac","40","Vallès Occidental","Metropolità","AT01"
"126","081265","Montgat","21","Maresme","Metropolità","AT01"
"127","081271","Monistrol de Montserrat","07","Bages","Comarques Centrals","AT06"
"128","081287","Monistrol de Calders","42","Moianès","Comarques Centrals","AT06"
"129","081290","Muntanyola","24","Osona","Comarques Centrals","AT06"
"130","081304","Montclar","14","Berguedà","Comarques Centrals","AT06"
"131","081311","Montesquiu","24","Osona","Comarques Centrals","AT06"
"132","081326","Montmajor","14","Berguedà","Comarques Centrals","AT06"
"133","081332","Montmaneu","06","Anoia","Penedès","AT08"
"134","081347","Figaró-Montmany","41","Vallès Oriental","Metropolità","AT01"
"135","081350","Montmeló","41","Vallès Oriental","Metropolità","AT01"
"136","081363","Montornès del Vallès","41","Vallès Oriental","Metropolità","AT01"
"137","081379","Montseny","41","Vallès Oriental","Metropolità","AT01"
"138","081385","Moià","07","Moianès","Comarques Centrals","AT06"
"139","081398","Mura","07","Bages","Comarques Centrals","AT06"
"140","081402","Navarcles","07","Bages","Comarques Centrals","AT06"
"141","081419","Navàs","07","Bages","Comarques Centrals","AT06"
"142","081424","Nou de Berguedà, la","14","Berguedà","Comarques Centrals","AT06"
"143","081430","Òdena","06","Anoia","Penedès","AT08"
"144","081445","Olvan","14","Berguedà","Comarques Centrals","AT06"
"145","081458","Olèrdola","03","Alt Penedès","Penedès","AT08"
"146","081461","Olesa de Bonesvalls","03","Alt Penedès","Penedès","AT08"
"147","081477","Olesa de Montserrat","11","Baix Llobregat","Metropolità","AT01"
"148","081483","Olivella","17","Garraf","Penedès","AT08"
"149","081496","Olost","24","Osona","Comarques Centrals","AT06"
"150","081509","Orís","24","Osona","Comarques Centrals","AT06"
"151","081516","Oristà","24","Osona","Comarques Centrals","AT06"
"152","081521","Orpí","06","Anoia","Penedès","AT08"
"153","081537","Òrrius","21","Maresme","Metropolità","AT01"
"154","081542","Pacs del Penedès","03","Alt Penedès","Penedès","AT08"
"155","081555","Palafolls","21","Maresme","Metropolità","AT01"
"156","081568","Palau-solità i Plegamans","40","Vallès Occidental","Metropolità","AT01"
"157","081574","Pallejà","11","Baix Llobregat","Metropolità","AT01"
"158","081580","Papiol, el","11","Baix Llobregat","Metropolità","AT01"
"159","081593","Parets del Vallès","41","Vallès Oriental","Metropolità","AT01"
"160","081607","Perafita","24","Osona","Comarques Centrals","AT06"
"161","081614","Piera","06","Anoia","Penedès","AT08"
"162","081629","Hostalets de Pierola, els","06","Anoia","Penedès","AT08"
"163","081635","Pineda de Mar","21","Maresme","Metropolità","AT01"
"164","081640","Pla del Penedès, el","03","Alt Penedès","Penedès","AT08"
"165","081653","Pobla de Claramunt, la","06","Anoia","Penedès","AT08"
"166","081666","Pobla de Lillet, la","14","Berguedà","Comarques Centrals","AT06"
"167","081672","Polinyà","40","Vallès Occidental","Metropolità","AT01"
"168","081688","Pontons","03","Alt Penedès","Penedès","AT08"
"169","081691","Prat de Llobregat, el","11","Baix Llobregat","Metropolità","AT01"
"170","081705","Prats de Rei, els","06","Anoia","Comarques Centrals","AT06"
"171","081712","Prats de Lluçanès","24","Osona","Comarques Centrals","AT06"
"172","081727","Premià de Mar","21","Maresme","Metropolità","AT01"
"173","081748","Puigdàlber","03","Alt Penedès","Penedès","AT08"
"174","081751","Puig-reig","14","Berguedà","Comarques Centrals","AT06"
"175","081764","Pujalt","06","Anoia","Comarques Centrals","AT06"
"176","081770","Quar, la","14","Berguedà","Comarques Centrals","AT06"
"177","081786","Rajadell","07","Bages","Comarques Centrals","AT06"
"178","081799","Rellinars","40","Vallès Occidental","Metropolità","AT01"
"179","081803","Ripollet","40","Vallès Occidental","Metropolità","AT01"
"180","081810","Roca del Vallès, la","41","Vallès Oriental","Metropolità","AT01"
"181","081825","Pont de Vilomara i Rocafort, el","07","Bages","Comarques Centrals","AT06"
"182","081831","Roda de Ter","24","Osona","Comarques Centrals","AT06"
"183","081846","Rubí","40","Vallès Occidental","Metropolità","AT01"
"184","081859","Rubió","06","Anoia","Penedès","AT08"
"185","081878","Sabadell","40","Vallès Occidental","Metropolità","AT01"
"186","081884","Sagàs","14","Berguedà","Comarques Centrals","AT06"
"187","081897","Sant Pere Sallavinera","06","Anoia","Comarques Centrals","AT06"
"188","081901","Saldes","14","Berguedà","Comarques Centrals","AT06"
"189","081918","Sallent","07","Bages","Comarques Centrals","AT06"
"190","081923","Santpedor","07","Bages","Comarques Centrals","AT06"
"191","081939","Sant Iscle de Vallalta","21","Maresme","Metropolità","AT01"
"192","081944","Sant Adrià de Besòs","13","Barcelonès","Metropolità","AT01"
"193","081957","Sant Agustí de Lluçanès","24","Osona","Comarques Centrals","AT06"
"194","081960","Sant Andreu de la Barca","11","Baix Llobregat","Metropolità","AT01"
"195","081976","Sant Andreu de Llavaneres","21","Maresme","Metropolità","AT01"
"196","081982","Sant Antoni de Vilamajor","41","Vallès Oriental","Metropolità","AT01"
"197","081995","Sant Bartomeu del Grau","24","Osona","Comarques Centrals","AT06"
"198","082009","Sant Boi de Llobregat","11","Baix Llobregat","Metropolità","AT01"
"199","082016","Sant Boi de Lluçanès","24","Osona","Comarques Centrals","AT06"
"200","082021","Sant Celoni","41","Vallès Oriental","Metropolità","AT01"
"201","082037","Sant Cebrià de Vallalta","21","Maresme","Metropolità","AT01"
"202","082042","Sant Climent de Llobregat","11","Baix Llobregat","Metropolità","AT01"
"203","082055","Sant Cugat del Vallès","40","Vallès Occidental","Metropolità","AT01"
"204","082068","Sant Cugat Sesgarrigues","03","Alt Penedès","Penedès","AT08"
"205","082074","Sant Esteve de Palautordera","41","Vallès Oriental","Metropolità","AT01"
"206","082080","Sant Esteve Sesrovires","11","Baix Llobregat","Metropolità","AT01"
"207","082093","Sant Fost de Campsentelles","41","Vallès Oriental","Metropolità","AT01"
"208","082107","Sant Feliu de Codines","41","Vallès Oriental","Metropolità","AT01"
"209","082114","Sant Feliu de Llobregat","11","Baix Llobregat","Metropolità","AT01"
"210","082129","Sant Feliu Sasserra","07","Bages","Comarques Centrals","AT06"
"211","082135","Sant Fruitós de Bages","07","Bages","Comarques Centrals","AT06"
"212","082140","Vilassar de Dalt","21","Maresme","Metropolità","AT01"
"213","082153","Sant Hipòlit de Voltregà","24","Osona","Comarques Centrals","AT06"
"214","082166","Sant Jaume de Frontanyà","14","Berguedà","Comarques Centrals","AT06"
"215","082172","Sant Joan Despí","11","Baix Llobregat","Metropolità","AT01"
"216","082188","Sant Joan de Vilatorrada","07","Bages","Comarques Centrals","AT06"
"217","082191","Vilassar de Mar","21","Maresme","Metropolità","AT01"
"218","082205","Sant Julià de Vilatorta","24","Osona","Comarques Centrals","AT06"
"219","082212","Sant Just Desvern","11","Baix Llobregat","Metropolità","AT01"
"220","082227","Sant Llorenç d'Hortons","03","Alt Penedès","Penedès","AT08"
"221","082233","Sant Llorenç Savall","40","Vallès Occidental","Metropolità","AT01"
"222","082248","Sant Martí de Centelles","24","Osona","Comarques Centrals","AT06"
"223","082251","Sant Martí d'Albars","24","Osona","Comarques Centrals","AT06"
"224","082264","Sant Martí de Tous","06","Anoia","Penedès","AT08"
"225","082270","Sant Martí Sarroca","03","Alt Penedès","Penedès","AT08"
"226","082286","Sant Martí Sesgueioles","06","Anoia","Comarques Centrals","AT06"
"227","082299","Sant Mateu de Bages","07","Bages","Comarques Centrals","AT06"
"228","082303","Premià de Dalt","21","Maresme","Metropolità","AT01"
"229","082310","Sant Pere de Ribes","17","Garraf","Penedès","AT08"
"230","082325","Sant Pere de Riudebitlles","03","Alt Penedès","Penedès","AT08"
"231","082331","Sant Pere de Torelló","24","Osona","Comarques Centrals","AT06"
"232","082346","Sant Pere de Vilamajor","41","Vallès Oriental","Metropolità","AT01"
"233","082359","Sant Pol de Mar","21","Maresme","Metropolità","AT01"
"234","082362","Sant Quintí de Mediona","03","Alt Penedès","Penedès","AT08"
"235","082378","Sant Quirze de Besora","24","Osona","Comarques Centrals","AT06"
"236","082384","Sant Quirze del Vallès","40","Vallès Occidental","Metropolità","AT01"
"237","082397","Sant Quirze Safaja","42","Moianès","Metropolità","AT01"
"238","082401","Sant Sadurní d'Anoia","03","Alt Penedès","Penedès","AT08"
"239","082418","Sant Sadurní d'Osormort","24","Osona","Comarques Centrals","AT06"
"240","082423","Marganell","07","Bages","Comarques Centrals","AT06"
"241","082439","Santa Cecília de Voltregà","24","Osona","Comarques Centrals","AT06"
"242","082444","Santa Coloma de Cervelló","11","Baix Llobregat","Metropolità","AT01"
"243","082457","Santa Coloma de Gramenet","13","Barcelonès","Metropolità","AT01"
"244","082460","Santa Eugènia de Berga","24","Osona","Comarques Centrals","AT06"
"245","082476","Santa Eulàlia de Riuprimer","24","Osona","Comarques Centrals","AT06"
"246","082482","Santa Eulàlia de Ronçana","41","Vallès Oriental","Metropolità","AT01"
"247","082495","Santa Fe del Penedès","03","Alt Penedès","Penedès","AT08"
"248","082508","Santa Margarida de Montbui","06","Anoia","Penedès","AT08"
"249","082515","Santa Margarida i els Monjos","03","Alt Penedès","Penedès","AT08"
"250","082520","Barberà del Vallès","40","Vallès Occidental","Metropolità","AT01"
"251","082536","Santa Maria de Besora","24","Osona","Comarques Centrals","AT06"
"252","082541","Esquirol, l'","24","Osona","Comarques Centrals","AT06"
"253","082554","Santa Maria de Merlès","14","Berguedà","Comarques Centrals","AT06"
"254","082567","Santa Maria de Martorelles","41","Vallès Oriental","Metropolità","AT01"
"255","082573","Santa Maria de Miralles","06","Anoia","Penedès","AT08"
"256","082589","Santa Maria d'Oló","42","Moianès","Comarques Centrals","AT06"
"257","082592","Santa Maria de Palautordera","41","Vallès Oriental","Metropolità","AT01"
"258","082606","Santa Perpètua de Mogoda","40","Vallès Occidental","Metropolità","AT01"
"259","082613","Santa Susanna","21","Maresme","Metropolità","AT01"
"260","082628","Sant Vicenç de Castellet","07","Bages","Comarques Centrals","AT06"
"261","082634","Sant Vicenç dels Horts","11","Baix Llobregat","Metropolità","AT01"
"262","082649","Sant Vicenç de Montalt","21","Maresme","Metropolità","AT01"
"263","082652","Sant Vicenç de Torelló","24","Osona","Comarques Centrals","AT06"
"264","082665","Cerdanyola del Vallès","40","Vallès Occidental","Metropolità","AT01"
"265","082671","Sentmenat","40","Vallès Occidental","Metropolità","AT01"
"266","082687","Cercs","14","Berguedà","Comarques Centrals","AT06"
"267","082690","Seva","24","Osona","Comarques Centrals","AT06"
"268","082704","Sitges","17","Garraf","Penedès","AT08"
"269","082711","Sobremunt","24","Osona","Comarques Centrals","AT06"
"270","082726","Sora","24","Osona","Comarques Centrals","AT06"
"271","082732","Subirats","03","Alt Penedès","Penedès","AT08"
"272","082747","Súria","07","Bages","Comarques Centrals","AT06"
"273","082750","Tavèrnoles","24","Osona","Comarques Centrals","AT06"
"274","082763","Tagamanent","41","Vallès Oriental","Metropolità","AT01"
"275","082779","Talamanca","07","Bages","Comarques Centrals","AT06"
"276","082785","Taradell","24","Osona","Comarques Centrals","AT06"
"277","082798","Terrassa","40","Vallès Occidental","Metropolità","AT01"
"278","082802","Tavertet","24","Osona","Comarques Centrals","AT06"
"279","082819","Teià","21","Maresme","Metropolità","AT01"
"280","082824","Tiana","21","Maresme","Metropolità","AT01"
"281","082830","Tona","24","Osona","Comarques Centrals","AT06"
"282","082845","Tordera","21","Maresme","Metropolità","AT01"
"283","082858","Torelló","24","Osona","Comarques Centrals","AT06"
"284","082861","Torre de Claramunt, la","06","Anoia","Penedès","AT08"
"285","082877","Torrelavit","03","Alt Penedès","Penedès","AT08"
"286","082883","Torrelles de Foix","03","Alt Penedès","Penedès","AT08"
"287","082896","Torrelles de Llobregat","11","Baix Llobregat","Metropolità","AT01"
"288","082900","Ullastrell","40","Vallès Occidental","Metropolità","AT01"
"289","082917","Vacarisses","40","Vallès Occidental","Metropolità","AT01"
"290","082922","Vallbona d'Anoia","06","Anoia","Penedès","AT08"
"291","082938","Vallcebre","14","Berguedà","Comarques Centrals","AT06"
"292","082943","Vallgorguina","41","Vallès Oriental","Metropolità","AT01"
"293","082956","Vallirana","11","Baix Llobregat","Metropolità","AT01"
"294","082969","Vallromanes","41","Vallès Oriental","Metropolità","AT01"
"295","082975","Veciana","06","Anoia","Comarques Centrals","AT06"
"296","082981","Vic","24","Osona","Comarques Centrals","AT06"
"297","082994","Vilada","14","Berguedà","Comarques Centrals","AT06"
"298","083008","Viladecavalls","40","Vallès Occidental","Metropolità","AT01"
"299","083015","Viladecans","11","Baix Llobregat","Metropolità","AT01"
"300","083020","Vilanova del Camí","06","Anoia","Penedès","AT08"
"301","083036","Vilanova de Sau","24","Osona","Comarques Centrals","AT06"
"302","083041","Vilobí del Penedès","03","Alt Penedès","Penedès","AT08"
"303","083054","Vilafranca del Penedès","03","Alt Penedès","Penedès","AT08"
"304","083067","Vilalba Sasserra","41","Vallès Oriental","Metropolità","AT01"
"305","083073","Vilanova i la Geltrú","17","Garraf","Penedès","AT08"
"306","083089","Viver i Serrateix","14","Berguedà","Comarques Centrals","AT06"
"307","089019","Rupit i Pruit","24","Osona","Comarques Centrals","AT06"
"308","089024","Vilanova del Vallès","41","Vallès Oriental","Metropolità","AT01"
"309","089030","Sant Julià de Cerdanyola","14","Berguedà","Comarques Centrals","AT06"
"310","089045","Badia del Vallès","40","Vallès Occidental","Metropolità","AT01"
"311","089058","Palma de Cervelló, la","11","Baix Llobregat","Metropolità","AT01"
"312","170010","Agullana","02","Alt Empordà","Comarques Gironines","AT02"
"313","170025","Aiguaviva","20","Gironès","Comarques Gironines","AT02"
"314","170031","Albanyà","02","Alt Empordà","Comarques Gironines","AT02"
"315","170046","Albons","10","Baix Empordà","Comarques Gironines","AT02"
